rxns	rxnNames	formulas	grRules	subSystems
MAR00925		D-galactosyl-N-acylsphingosine[g] + UDP-galactose[g] => digalactosylceramide[g] + H+[g] + UDP[g]	ENSG00000016864 or ENSG00000027847 or ENSG00000060642 or ENSG00000069943 or ENSG00000085998 or ENSG00000086062 or ENSG00000102595 or ENSG00000109586 or ENSG00000117411 or ENSG00000118017 or ENSG00000118276 or ENSG00000119227 or ENSG00000120820 or ENSG00000121578 or ENSG00000124091 or ENSG00000134910 or ENSG00000136731 or ENSG00000139044 or ENSG00000143315 or ENSG00000147162 or ENSG00000148288 or ENSG00000156966 or ENSG00000158470 or ENSG00000158850 or ENSG00000162630 or ENSG00000162885 or ENSG00000163527 or ENSG00000167080 or ENSG00000167889 or ENSG00000170340 or ENSG00000172318 or ENSG00000172461 or ENSG00000172728 or ENSG00000175711 or ENSG00000176383 or ENSG00000176597 or ENSG00000177191 or ENSG00000179913 or ENSG00000180549 or ENSG00000182272 or ENSG00000183778 or ENSG00000187676 or ENSG00000196371 or ENSG00000196968 or ENSG00000198488 or ENSG00000204007 or ENSG00000237172 or ENSG00000251287	Glycosphingolipid metabolism
MAR00926	UDP-alpha-D-galactose:beta-D-glucosyl-(1<->1)-ceramide 4-beta-D-galactosyltransferase	glucosylceramide pool[c] + UDP-galactose[c] => H+[c] + LacCer pool[c] + UDP[c]	ENSG00000016864 or ENSG00000027847 or ENSG00000060642 or ENSG00000069943 or ENSG00000085998 or ENSG00000086062 or ENSG00000102595 or ENSG00000109586 or ENSG00000117411 or ENSG00000118017 or ENSG00000118276 or ENSG00000119227 or ENSG00000120820 or ENSG00000121578 or ENSG00000124091 or ENSG00000134910 or ENSG00000136731 or ENSG00000139044 or ENSG00000143315 or ENSG00000147162 or ENSG00000148288 or ENSG00000156966 or ENSG00000158470 or ENSG00000158850 or ENSG00000162630 or ENSG00000162885 or ENSG00000163527 or ENSG00000167080 or ENSG00000167889 or ENSG00000170340 or ENSG00000172318 or ENSG00000172461 or ENSG00000172728 or ENSG00000175711 or ENSG00000176383 or ENSG00000176597 or ENSG00000177191 or ENSG00000179913 or ENSG00000180549 or ENSG00000182272 or ENSG00000183778 or ENSG00000187676 or ENSG00000196371 or ENSG00000196968 or ENSG00000198488 or ENSG00000204007 or ENSG00000237172 or ENSG00000251287	Glycosphingolipid metabolism
MAR07188	glycoprotein-phosphatidylinositol phosphatidohydrolase	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[r] + H2O[r] => 6-(alpha-D-glucosaminyl)-1D-myo-inositol[r] + 2 H+[r] + phosphatidate-LD-PI pool[r]	ENSG00000112293	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08378	dolichyl-beta-D-mannosyl-phosphate:protein-serine O-D-mannosyltransferase	dolichyl-phosphate[c] + H+[c] + O-D-mannosylprotein[c] <=> [protein]-L-serine[c] + dolichyl-phosphate-D-mannose[c]	ENSG00000009830 or ENSG00000130714	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08379		PI pool[c] + UDP-N-acetylglucosamine[c] => H+[c] + N-acetyl-D-glucosaminylphosphatidylinositol[c] + UDP[c]	(ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195) or ENSG00000138641 or ENSG00000145337 or ENSG00000185808 or ENSG00000255072	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR07185		PI pool[r] + UDP-N-acetylglucosamine[r] => H+[r] + N-acetyl-D-glucosaminylphosphatidylinositol[r] + UDP[r]	(ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195) or ENSG00000138641 or ENSG00000145337 or ENSG00000185808 or ENSG00000255072	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08380		H2O[c] + N-acetyl-D-glucosaminylphosphatidylinositol[c] => 6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[c] + acetate[c]	ENSG00000108474	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR07186		H2O[r] + N-acetyl-D-glucosaminylphosphatidylinositol[r] => 6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[r] + acetate[r]	ENSG00000108474	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08381		6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[c] + palmitoyl-CoA[c] => CoA[c] + glucosaminyl-acylphosphatidylinositol[c]	ENSG00000277161	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR07187		6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[r] + palmitoyl-CoA[r] => CoA[r] + glucosaminyl-acylphosphatidylinositol[r]	ENSG00000277161	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08383		dolichyl-phosphate-D-mannose[r] + glucosaminyl-acylphosphatidylinositol[r] => dolichyl-phosphate[r] + H+[r] + mgacpail heparan sulfate[r]	ENSG00000143315 and ENSG00000163964	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08384		dolichyl-phosphate-D-mannose[r] + mgacpail heparan sulfate[r] => dolichyl-phosphate[r] + H+[r] + m2gacpail heparan sulfate[r]	ENSG00000060642	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08385		dolichyl-phosphate-D-mannose[r] + m2gacpail heparan sulfate[r] => dolichyl-phosphate[r] + H+[r] + m3gacpail heparan sulfate[r]	ENSG00000069943	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08387		dolichyl-phosphate-D-mannose[r] + emgacpail heparan sulfate[r] => dolichyl-phosphate[r] + H+[r] + memgacpail heparan sulfate[r]	ENSG00000060642	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08388		dolichyl-phosphate-D-mannose[r] + memgacpail heparan sulfate[r] => dolichyl-phosphate[r] + H+[r] + m2emgacpail heparan sulfate[r]	ENSG00000069943	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08389		dolichyl-phosphate-D-mannose[r] + m2emgacpail heparan sulfate[r] => dolichyl-phosphate[r] + H+[r] + m3emgacpail heparan sulfate[r]	ENSG00000119227	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08390		dolichyl-phosphate-D-mannose[r] + em2emgacpail heparan sulfate[r] => dolichyl-phosphate[r] + H+[r] + mem2emgacpail heparan sulfate[r]	ENSG00000119227	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08391		mgacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + emgacpail heparan sulfate[r]	ENSG00000197563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08392		m2gacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + memgacpail heparan sulfate[r]	ENSG00000197563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08393		m3gacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + em3gacpail heparan sulfate[r]	ENSG00000151665 or ENSG00000165282 or ENSG00000174227	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08394		m3gacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + m2emgacpail heparan sulfate[r]	ENSG00000197563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08395		em3gacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + emem2gacpail heparan sulfate[r]	ENSG00000151665 or ENSG00000174227	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08396		m2emgacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + em2emgacpail heparan sulfate[r]	ENSG00000151665 or ENSG00000165282 or ENSG00000174227	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08397		em3gacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + em2emgacpail heparan sulfate[r]	ENSG00000197563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08398		em2emgacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + gpi heparan sulfate[r]	ENSG00000151665 or ENSG00000174227	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08399		emem2gacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + gpi heparan sulfate[r]	ENSG00000197563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08401		m3emgacpail heparan sulfate[r] + PE-LD pool[r] => 1,2-diacylglycerol-LD-PE pool[r] + mem2emgacpail heparan sulfate[r]	ENSG00000151665 or ENSG00000165282 or ENSG00000174227	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08402		em2emgacpail heparan sulfate[r] + glycophosphatidylinositol-(GPI)-anchored-protein-precursor[r] => em2emgacpail_prot heparan sulfate[r] + gpi_sig[r]	ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08403		em2emgacpail_prot heparan sulfate[r] + H2O[r] => dem2emgacpail_prot heparan sulfate[r] + H+[r] + palmitate[r]	ENSG00000197121	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08404		glycophosphatidylinositol-(GPI)-anchored-protein-precursor[r] + gpi heparan sulfate[r] => gpi_prot heparan sulfate[r] + gpi_sig[r]	ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08405		gpi_prot heparan sulfate[r] + H2O[r] => dgpi_prot heparan sulfate[r] + H+[r] + palmitate[r]	ENSG00000197121	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08406		glycophosphatidylinositol-(GPI)-anchored-protein-precursor[r] + m3gacpail heparan sulfate[r] => gpi_sig[r] + m3gacpail_prot heparan sulfate[r]	ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR08407		glycophosphatidylinositol-(GPI)-anchored-protein-precursor[r] + mem2emgacpail heparan sulfate[r] => gpi_sig[r] + mem2emgacpail_prot heparan sulfate[r]	ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
MAR01979	Pregnenolone:NAD+ 3-oxidoreductase	NAD+[c] + pregnenolone[c] => H+[c] + NADH[c] + pregn-5-ene-3,20-dione[c]	ENSG00000203857 or ENSG00000203859	Glucocorticoid biosynthesis
MAR01980		pregn-5-ene-3,20-dione[c] => progesterone[c]	ENSG00000203857 or ENSG00000203859	Glucocorticoid biosynthesis
MAR01981		H+[c] + NADPH[c] + O2[c] + progesterone[c] => 17alpha-hydroxyprogesterone[c] + H2O[c] + NADP+[c]	ENSG00000148795	Glucocorticoid biosynthesis
MAR01985		17alpha-hydroxyprogesterone[c] + NADPH[c] + O2[c] => 4-androstene-3,17-dione[c] + acetate[c] + H2O[c] + NADP+[c]	ENSG00000148795 or ENSG00000197580	Glucocorticoid biosynthesis
MAR01987		17alpha-hydroxyprogesterone[r] + NADPH[r] + O2[r] <=> 4-androstene-3,17-dione[r] + acetate[r] + H2O[r] + NADP+[r]	ENSG00000148795 or ENSG00000197580	Glucocorticoid biosynthesis
MAR01988		17alpha-hydroxyprogesterone[c] + H+[c] + NADPH[c] + O2[c] => 11-deoxycortisol[c] + H2O[c] + NADP+[c]	ENSG00000231852	Glucocorticoid biosynthesis
MAR01995	steroid,reduced ferredoxin:oxygen oxidoreductase (11-hydroxylating)	11-deoxycortisol[m] + H+[m] + NADPH[m] + O2[m] => cortisol[m] + H2O[m] + NADP+[m]	ENSG00000160882 or ENSG00000179142	Glucocorticoid biosynthesis
MAR01996	Cortisol:NADP+ 11-oxidoreductase	cortisol[c] + NADP+[c] => cortisone[c] + H+[c] + NADPH[c]	ENSG00000117594	Glucocorticoid biosynthesis
MAR01999		cortisol[c] + H+[c] + 2 NADPH[c] + O2[c] => 11beta-hydroxyandrost-4-ene-3,17-dione[c] + acetate[c] + 2 H2O[c] + 2 NADP+[c]	ENSG00000148795 or ENSG00000160882 or ENSG00000179142 or ENSG00000197580	Glucocorticoid biosynthesis
MAR02000		cortisol[m] + H+[m] + 2 NADPH[m] + O2[m] => 11beta-hydroxyandrost-4-ene-3,17-dione[m] + acetate[m] + 2 H2O[m] + 2 NADP+[m]	ENSG00000148795 or ENSG00000160882 or ENSG00000179142 or ENSG00000197580	Glucocorticoid biosynthesis
MAR02001		cortisol[r] + H+[r] + 2 NADPH[r] + O2[r] => 11beta-hydroxyandrost-4-ene-3,17-dione[r] + acetate[r] + 2 H2O[r] + 2 NADP+[r]	ENSG00000148795 or ENSG00000160882 or ENSG00000179142 or ENSG00000197580	Glucocorticoid biosynthesis
MAR01305	Arachidonate:oxygen oxidoreductase	arachidonate[r] + 2 O2[r] => prostaglandin G2[r]	ENSG00000073756 or ENSG00000095303	Prostaglandin biosynthesis
MAR01307		2 H+[r] + prostaglandin G2[r] => H2O[r] + prostaglandin H2[r]	ENSG00000073756 or ENSG00000095303	Prostaglandin biosynthesis
MAR01308	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13- dienoate 6-isomerase	prostaglandin H2[r] => prostaglandin I2[r]	ENSG00000124212	Prostaglandin biosynthesis
MAR01310		6-oxo-prostaglandin F1alpha[r] <=> H2O[r] + prostaglandin I2[r]		Prostaglandin biosynthesis
MAR01312	(5Z,13E)-(15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13- dienoate E-isomerase	prostaglandin H2[c] => prostaglandin E2[c]	ENSG00000110958 or ENSG00000148334 or ENSG00000148344	Prostaglandin biosynthesis
MAR01313	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-thromboxane-A2-isomerase	prostaglandin H2[r] => thromboxane A2[r]	ENSG00000059377	Prostaglandin biosynthesis
MAR01315		H2O[r] + thromboxane A2[r] <=> thromboxane B2[r]		Prostaglandin biosynthesis
MAR01317	NAD Dependent 11-Hydroxythromboxane B2 Dehydrogenase	11-dehydro-thromboxane B2[c] + H+[c] + NADH[c] <=> NAD+[c] + thromboxane B2[c]		Prostaglandin biosynthesis
MAR01318		6-oxo-prostaglandin F1alpha[c] <=> H2O[c] + prostaglandin I2[c]		Prostaglandin biosynthesis
MAR01319		6-oxo-prostaglandin E1[c] + H+[c] + NADH[c] <=> 6-oxo-prostaglandin F1alpha[c] + NAD+[c]		Prostaglandin biosynthesis
MAR01320		6-oxo-prostaglandin F1alpha[c] + 2 H+[c] + 2 NADH[c] <=> H2O[c] + 2 NAD+[c] + prostaglandin F1alpha[c]		Prostaglandin biosynthesis
MAR01321		H2O[c] + prostaglandin A2[c] <=> prostaglandin E2[c]	ENSG00000163684 or ENSG00000244486	Prostaglandin biosynthesis
MAR01322		prostaglandin A2[c] <=> prostaglandin C2[c]		Prostaglandin biosynthesis
MAR01323		prostaglandin B2[c] <=> prostaglandin C2[c]		Prostaglandin biosynthesis
MAR01324		H2O[c] + prostaglandin B2[c] <=> prostaglandin E2[c]		Prostaglandin biosynthesis
MAR01325		NAD+[c] + prostaglandin F2alpha[c] => H+[c] + NADH[c] + prostaglandin H2[c]	ENSG00000196139	Prostaglandin biosynthesis
MAR01326		NADP+[c] + prostaglandin F2alpha[c] => H+[c] + NADPH[c] + prostaglandin H2[c]	ENSG00000196139	Prostaglandin biosynthesis
MAR01327	(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate:NADP+ 9-oxidoreductase	NADP+[c] + prostaglandin F2alpha[c] => H+[c] + NADPH[c] + prostaglandin E2[c]	ENSG00000157326 or ENSG00000159228 or ENSG00000159231 or ENSG00000196139	Prostaglandin biosynthesis
MAR01328	(5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate:NAD+ 15-oxidoreductase	15-keto-prostaglandin F2alpha[c] + H+[c] + NADH[c] <=> NAD+[c] + prostaglandin F2alpha[c]		Prostaglandin biosynthesis
MAR01329	(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate:NADP+ 11-oxidoreductase	H+[c] + NADPH[c] + prostaglandin D2[c] <=> NADP+[c] + prostaglandin F2alpha[c]	ENSG00000196139	Prostaglandin biosynthesis
MAR01330	(5Z,13E)-(15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13- dienoate D-isomerase	prostaglandin H2[c] => prostaglandin D2[c]	ENSG00000107317 or ENSG00000163106	Prostaglandin biosynthesis
MAR01332		H2O[c] + prostaglandin J2[c] <=> prostaglandin D2[c]		Prostaglandin biosynthesis
MAR01333		H2O[r] + prostaglandin J2[r] <=> prostaglandin D2[r]		Prostaglandin biosynthesis
MAR01334		15-deoxy-PGD2[c] + H2O[c] <=> prostaglandin D2[c]		Prostaglandin biosynthesis
MAR01335		delta-12-prostaglandin J2[r] + H2O[r] <=> prostaglandin D2[r]		Prostaglandin biosynthesis
MAR01336	(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate:NADP+ 15-oxidoreductase	15-dehydro-prostaglandin D2[c] + H+[c] + NADPH[c] <=> NADP+[c] + prostaglandin D2[c]		Prostaglandin biosynthesis
MAR01337		13,14-dihydro-15-keto-PGD2[c] <=> 15-dehydro-prostaglandin D2[c] + 2 H+[c]		Prostaglandin biosynthesis
MAR01338		15-deoxy-delta-12,14-PGD2[c] + H2O[c] <=> prostaglandin D2[c]		Prostaglandin biosynthesis
MAR01339		12(S)-HHT[c] + H+[c] + malonic-dialdehyde[c] <=> prostaglandin H2[c]	ENSG00000059377	Prostaglandin biosynthesis
MAR01341		H2O[c] + prostaglandin-PGE2-glyceryl ester[c] <=> glycerol[c] + H+[c] + prostaglandin E2[c]		Prostaglandin biosynthesis
MAR01342		H2O[c] + prostaglandin-PGE2-1-glyceryl ester[c] <=> glycerol[c] + H+[c] + prostaglandin E2[c]		Prostaglandin biosynthesis
MAR01343		H2O[c] + prostaglandin-PGE2-3-glyceryl ester[c] <=> glycerol[c] + H+[c] + prostaglandin E2[c]		Prostaglandin biosynthesis
MAR01344		15-oxo-prostaglandin E2-glyceryl ester[c] + H+[c] + NADPH[c] <=> NADP+[c] + prostaglandin-PGE2-glyceryl ester[c]	ENSG00000164120	Prostaglandin biosynthesis
MAR01345		H2O[c] + prostaglandin-PGB2-glyceryl ester[c] <=> prostaglandin-PGE2-glyceryl ester[c]		Prostaglandin biosynthesis
MAR01346	fatty acylamide amidohydrolase	arachidonate[c] + ethanolamine[c] => anandamide[c] + H2O[c]	ENSG00000117480	Prostaglandin biosynthesis
MAR01347		2-arachidonoylglycerol[c] + H2O[c] <=> arachidonate[c] + glycerol[c] + H+[c]	ENSG00000117480	Prostaglandin biosynthesis
MAR01350		2-arachidonoylglycerol[c] + O2[c] => 12-hydroperoxyeicosatetraenoate-glyceryl-ester[c]	ENSG00000073756 or ENSG00000095303	Prostaglandin biosynthesis
MAR01352		1-lyso-2-arachidonoyl-phosphatidate[c] + H2O[c] <=> 2-arachidonoylglycerol[c] + Pi[c]	ENSG00000067113 or ENSG00000101577 or ENSG00000105520 or ENSG00000117600 or ENSG00000129951 or ENSG00000132793 or ENSG00000134324 or ENSG00000141934 or ENSG00000147535 or ENSG00000162407 or ENSG00000203805	Prostaglandin biosynthesis
MAR01355		arachidonate[c] + O2[c] => 8-peroxy-(5Z,9E,11Z,14Z)-eicosatetraenoate[c] + H+[c]		Prostaglandin biosynthesis
MAR01356		8-peroxy-(5Z,9E,11Z,14Z)-eicosatetraenoate[c] + ascorbate[c] + O2[c] => 5,9-cyclo-6,8-cycloperoxy-12-hydroperoxy-(10E,14Z)-eicosadienoate[c] + monodehydroascorbate[c]		Prostaglandin biosynthesis
MAR01357		5,9-cyclo-6,8-cycloperoxy-12-hydroperoxy-(10E,14Z)-eicosadienoate[c] + 2 ascorbate[c] => 5,9-cyclo-6,8,12-trihydroxy-(10E,14Z)-eicosadienoic acid[c] + 2 dehydroascorbic acid[c] + H2O[c]		Prostaglandin biosynthesis
MAR01358		arachidonate[c] + O2-[c] => 9-peroxy-(5Z,7E,11Z,14Z)-eicosatetraenoate[c] + H+[c]		Prostaglandin biosynthesis
MAR01359		9-peroxy-(5Z,7E,11Z,14Z)-eicosatetraenoate[c] + ascorbate[c] + O2[c] => 9,11-cycloperoxy-5-hydroperoxy-(6E,14Z)-eicosadienoate[c] + monodehydroascorbate[c]		Prostaglandin biosynthesis
MAR01360		9,11-cycloperoxy-5-hydroperoxy-(6E,14Z)-eicosadienoate[c] + 2 ascorbate[c] => 5,9,11-trihydroxyprosta-(6E,14Z)-dien-1-oate[c] + 2 dehydroascorbic acid[c] + H2O[c]		Prostaglandin biosynthesis
MAR01361		arachidonate[c] + O2-[c] => 11-peroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate[c] + H+[c]		Prostaglandin biosynthesis
MAR01362		11-peroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate[c] + ascorbate[c] + O2[c] => 9,11-cycloperoxy-15-hydroperoxy-(5Z,13E)-eicosadienoate[c] + monodehydroascorbate[c]		Prostaglandin biosynthesis
MAR01363		9,11,15-trihydroxyprosta-(5Z,13E)-dien-1-oate[c] + H2O[c] <=> 9,11-cycloperoxy-15-hydroperoxy-(5Z,13E)-eicosadienoate[c] + 4 H+[c]		Prostaglandin biosynthesis
MAR01364		arachidonate[c] + O2-[c] => 12-peroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate[c] + H+[c]		Prostaglandin biosynthesis
MAR01365		12-peroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate[c] + ascorbate[c] + O2[c] => 11,15-cyclo-12,14-cycloperoxy-8-hydroperoxy-(5Z,9E)-eicosadienoate[c] + monodehydroascorbate[c]		Prostaglandin biosynthesis
MAR01366		11,15-cyclo-12,14-cycloperoxy-8-hydroperoxy-(5Z,9E)-eicosadienoate[c] + 4 H+[c] <=> 11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid[c] + H2O[c]		Prostaglandin biosynthesis
MAR01367		GSH[c] + prostaglandin J2[c] <=> S-(PGJ2)-glutathione[c]	ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148344 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000196139 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067	Prostaglandin biosynthesis
MAR01370		GSH[c] + prostaglandin A2[c] <=> S-(PGA2)-glutathione[c]	ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148344 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067	Prostaglandin biosynthesis
MAR01373		delta-12-prostaglandin J2[c] <=> prostaglandin J2[c]		Prostaglandin biosynthesis
MAR01374		15-deoxy-delta-12,14-PGJ2[c] + H2O[c] <=> delta-12-prostaglandin J2[c]		Prostaglandin biosynthesis
MAR01375		15-deoxy-prostaglandin J2[c] + H2O[c] <=> prostaglandin J2[c]		Prostaglandin biosynthesis
MAR01376		15-deoxy-prostaglandin J2[c] + H2O[c] <=> delta-12-prostaglandin J2[c]		Prostaglandin biosynthesis
MAR01379		delta-12-prostaglandin J2[c] + GSH[c] <=> S-(9-deoxy-delta9,12-PGD2)-glutathione[c]	ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148344 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067	Prostaglandin biosynthesis
MAR01382		H+[c] + NADPH[c] + S-(9-deoxy-delta9,12-PGD2)-glutathione[c] <=> NADP+[c] + S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione[c]	ENSG00000196139	Prostaglandin biosynthesis
MAR01383		9-deoxy-delta12-PGD2[c] + H2O[c] <=> 2 H+[c] + prostaglandin D2[c]		Prostaglandin biosynthesis
MAR01384		9-deoxy-delta12-PGD2[c] + GSH[c] <=> S-(9-deoxy-delta12-PGD2)-glutathione[c]	ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148344 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067	Prostaglandin biosynthesis
MAR01387		H+[c] + NADPH[c] + S-(9-deoxy-delta12-PGD2)-glutathione[c] <=> NADP+[c] + S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione[c]	ENSG00000196139	Prostaglandin biosynthesis
MAR01388		dihomo-gamma-linolenate[c] + O2[c] => 15-HpETrE[c]	ENSG00000161905 or ENSG00000179593	Prostaglandin biosynthesis
MAR01389		15(S)-HETrE[c] + H2O[c] <=> 15-HpETrE[c] + 2 H+[c]		Prostaglandin biosynthesis
MAR01390		dihomo-gamma-linolenate[c] + 2 O2[c] => prostaglandin G1[c]	ENSG00000073756 or ENSG00000095303	Prostaglandin biosynthesis
MAR01391		dihomo-gamma-linolenate[r] + 2 O2[r] => prostaglandin G1[r]	ENSG00000073756 or ENSG00000095303	Prostaglandin biosynthesis
MAR01393		2 H+[r] + prostaglandin G1[r] <=> H2O[r] + prostaglandin H1[r]	ENSG00000073756 or ENSG00000095303	Prostaglandin biosynthesis
MAR01394		prostaglandin E1[c] <=> prostaglandin H1[c]	ENSG00000110958 or ENSG00000148334 or ENSG00000148344	Prostaglandin biosynthesis
MAR01395		H2O[c] + prostaglandin A1[c] <=> prostaglandin E1[c]	ENSG00000163684 or ENSG00000244486	Prostaglandin biosynthesis
MAR01398		GSH[c] + prostaglandin A1[c] <=> S-(PGA1)-glutathione[c]	ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148344 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067	Prostaglandin biosynthesis
MAR01401		prostaglandin A1[c] <=> prostaglandin C1[c]		Prostaglandin biosynthesis
MAR01402		prostaglandin B1[c] <=> prostaglandin C1[c]		Prostaglandin biosynthesis
MAR00703		2 H+[x] + 2 NADPH[x] + palmitoyl-CoA[x] => CoA[x] + hexadecanol[x] + 2 NADP+[x]	ENSG00000064763 or ENSG00000197601	Ether lipid metabolism
